sector,index,name,netIncome,totalRevenue,marketCap_netIncome,currentPrice,sharesOutstanding,marketCap,ticker,netIncome_sharesOutstanding,marketCap_totalRevenue
,1726,Qwest Corporation 6.5% Notes due 2056,0,0,0,23.73,0,0.0,CTBB,0,0
,1728,Qwest Corporation 6.75% Notes due 2057,0,0,0,24.19,0,0.0,CTDD,0,0
Financial Services,1738,ClearBridge Energy MLP Total Return Fund Inc.,0,0,0,11.54,38400142,443137638.67999995,CTR,0,0
Healthcare,1743,ContraVir Pharmaceuticals Inc.,-10443779.0,0,-0.9809633725684926,0.7089,14451918,10244964.6702,CTRV,-0.7226569511396342,0
,1748,,0,0,0,24.99,0,0.0,CTV,0,0
Healthcare,1750,Citius Pharmaceuticals Inc.,-12732981.0,0,-1.7683462725657093,1.39,16198791,22516319.49,CTXR,-0.7860451437394309,0
,1751,Citius Pharmaceuticals Inc. Warrant,0,0,0,0.2601,0,0.0,CTXRW,0,0
,1753,Qwest Corporation 6.125% Notes due 2053,0,0,0,23.44,0,0.0,CTY,0,0
,1754,,0,0,0,24.38,0,0.0,CTZ,0,0
Financial Services,1756,The Herzfeld Caribbean Basin Fund Inc.,0,0,0,6.453,6133659,39580501.527,CUBA,0,0
Financial Services,1759,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series C,77174000.0,343475000.0,0.0,26.034,0,0.0,CUBI-C,0,0.0
Financial Services,1760,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series D,77174000.0,343475000.0,0.0,25.946,0,0.0,CUBI-D,0,0.0
Financial Services,1761,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series E,77174000.0,343475000.0,0.0,26.3,0,0.0,CUBI-E,0,0.0
Financial Services,1762,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F,77174000.0,343475000.0,0.0,25.73,0,0.0,CUBI-F,0,0.0
,1767,Virtus Cumberland Municipal Bond,0,0,0,24.5,500004,12250098.0,CUMB,0,0
,1770,Direxion Daily Healthcare Bull 3X Shares,0,0,0,62.44,3050008,190442499.51999998,CURE,0,0
,1772,Invesco MSCI Global Timber,0,0,0,32.947,6300000,207566100.00000003,CUT,0,0
Healthcare,1789,Cel-Sci Corporation Warrants Exp 10/11/2018,0,0,0,0.01,0,0.0,CVM+,0,0
Consumer Cyclical,1790,Carvana Co. Class A,-71383000.0,1326140000.0,-0.0,59.98,0,0.0,CVNA,0,0.0
,1800,Invesco Zacks Multi-Asset Income,0,0,0,22.52,12550800,282644016.0,CVY,0,0
,1802,CWA Income,0,0,0,24.8309,350000,8690815.0,CWAI,0,0
,1804,SPDR Bloomberg Barclays Convertible Securities,0,0,0,53.73,88200000,4738986000.0,CWB,0,0
Healthcare,1806,CohBar Inc.,-12597201.0,0,-15.731949973013846,4.667,42463796,198178535.93199998,CWBR,-0.29665743966931263,0
,1808,Direxion Daily CSI China Internet Index Bull 2X Shares,0,0,0,30.235,1850001,55934780.235,CWEB,0,0
,1809,NRG YIELD INC-CLASS C,0,0,0,20.175,0,0.0,CWEN,0,0
,1810,NRG YIELD INC-CLASS A,0,0,0,19.8,0,0.0,CWEN.A,0,0
,1812,SPDR MSCI ACWI ex-US,0,0,0,36.732,41400000,1520704800.0,CWI,0,0
,1814,AdvisorShares Focused Equity,0,0,0,34.49,450000,15520500.0,CWS,0,0
Financial Services,1819,MFS High Income Municipal Trust,0,0,0,4.98,31512106,156930287.88000003,CXE,0,0
Financial Services,1820,MFS Investment Grade Municipal Trust,0,0,0,9.13,9110245,83176536.85000001,CXH,0,0
,1823,WisdomTree China ex-State-Owned Enterprises Fund,0,0,0,69.57,2150000,149575500.0,CXSE,0,0
Healthcare,1826,Celyad SA,0,0,0,27.505,11942344,328474171.71999997,CYAD,0,0
,1828,WisdomTree Chinese Yuan Strategy Fund,0,0,0,25.385,1250000,31731250.000000004,CYB,0,0
Healthcare,1831,Cyclacel Pharmaceuticals Inc.,-6929000.0,0,-2.4933357887141003,1.44,11997447,17276323.68,CYCC,-0.5775395382034194,0
Healthcare,1832,Cyclacel Pharmaceuticals Inc. 6% Convertible Preferred Stock,-6929000.0,0,-0.261289392408717,5.4,335273,1810474.2000000002,CYCCP,-20.666740238551867,0
Healthcare,1835,Community Health Systems Inc. Series A Contingent Value Rights,-2258000000.0,13975000000.0,-0.0,0.033,0,0.0,CYHHZ,0,0.0
,1839,,0,0,0,9.4,0,0.0,CYRXW,0,0
Healthcare,1843,Cytori Therapeutics Inc. Warrant,-17162000.0,4692000.0,-0.0,0.0061,0,0.0,CYTXW,0,0.0
Healthcare,1844,Cytori Therapeutics Inc. Series S Warrant,-17162000.0,4692000.0,-0.0,0.0043,0,0.0,CYTXZ,0,0.0
,1845,Invesco Zacks Mid-Cap,0,0,0,69.103,3850000,266046549.99999997,CZA,0,0
,1853,DB Agriculture Double Long ETN due April 1 2038,0,0,0,2.17,2326600,5048722.0,DAG,0,0
,1857,First Trust DorseyWright DALI 1 ETF,0,0,0,21.11,2050002,43275542.22,DALI,0,0
,1858,Anfield Capital Diversified Alternatives ETF,0,0,0,10.38,3375000,35032500.0,DALT,0,0
Healthcare,1861,Dare Bioscience Inc.,-22008847.0,0,-0.4748670984445482,0.915,11422161,10451277.315,DARE,-1.9268549095044274,0
,1863,ETNs linked to the VelocityShares Daily 4X Long USD vs. AUD Index,0,0,0,29.54,160000,4726400.0,DAUD,0,0
,1866,Horizons DAX Germany ETF,0,0,0,28.24,650000,18356000.0,DAX,0,0
,1868,Invesco DB Agriculture Fund,0,0,0,16.96,32800040,556288678.4,DBA,0,0
,1869,Xtrackers MSCI Asia Pacific ex Japan Hedged Equity,0,0,0,27.85,150001,4177527.85,DBAP,0,0
,1870,Xtrackers MSCI All World ex US Hedged Equity,0,0,0,27.23,4600001,125258027.23,DBAW,0,0
,1871,Invesco DB Base Metals Fund,0,0,0,15.67,13200040,206844626.8,DBB,0,0
,1872,Invesco DB Commodity Index Tracking Fund,0,0,0,17.215,143200040,2465188688.6,DBC,0,0
,1874,Invesco DB Energy Fund,0,0,0,17.09,13400040,229006683.6,DBE,0,0
,1875,Xtrackers MSCI EAFE Hedged Equity,0,0,0,31.65,185950800,5885342820.0,DBEF,0,0
,1876,Xtrackers MSCI Emerging Markets Hedged Equity,0,0,0,22.677,6100800,138347841.6,DBEM,0,0
,1877,Xtrackers MSCI Europe Hedged Equity,0,0,0,28.13,48700001,1369931028.1299999,DBEU,0,0
,1878,Xtrackers MSCI Eurozone Hedged Equity,0,0,0,30.196,1350001,40764630.196,DBEZ,0,0
,1879,Xtrackers MSCI Germany Hedged Equity,0,0,0,26.6,1150800,30611280.0,DBGR,0,0
,1880,Xtrackers MSCI Japan Hedged Equity,0,0,0,42.65,24150800,1030031620.0,DBJP,0,0
,1881,Xtrackers MSCI South Korea Hedged Equity,0,0,0,28.41,450001,12784528.41,DBKO,0,0
Financial Services,1882,DoubleLine Opportunistic Credit Fund of Beneficial Interest,0,0,0,20.96,14899886,312301610.56,DBL,0,0
,1883,Invesco DB Oil Fund,0,0,0,12.63,30200040,381426505.20000005,DBO,0,0
,1884,Invesco DB Precious Metals Fund,0,0,0,34.55,3200040,110561381.99999999,DBP,0,0
,1885,Invesco DB Silver Fund,0,0,0,21.34,800040,17072853.6,DBS,0,0
,1886,Xtrackers MSCI United Kingdom Hedged Equity,0,0,0,21.0348,100001,2103501.0348,DBUK,0,0
,1887,Invesco DB G10 Currency Harvest Fund,0,0,0,23.69,1000040,23690947.6,DBV,0,0
Healthcare,1888,DBV Technologies S.A.,0,0,0,24.07,60218278,1449453951.46,DBVT,0,0
Financial Services,1891,Dreyfus Alcentra Global Credit Income 2024 Target Term Fund Inc.,0,0,0,9.027,14951206,134964536.56199998,DCF,0,0
,1892,ETNs linked to the VelocityShares Daily 4X Long USD vs. CHF Index,0,0,0,23.64,160000,3782400.0,DCHF,0,0
Energy,1898,DCP Midstream LP 7.875% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,172000000.0,8941000000.0,0.0,25.444,0,0.0,DCP-B,0,0.0
Healthcare,1899,Deciphera Pharmaceuticals Inc.,-75070000.0,0,-17.431567000799255,34.75,37657201,1308587734.75,DCPH,-1.9935098203395414,0
Utilities,1900,Dominion Energy Inc. 2016 Series A Corporate Units,2929000000.0,12943000000.0,0.0,47.94,0,0.0,DCUD,0,0.0
,1903,Legg Mason Developed EX-US Diversified Core ETF,0,0,0,29.0982,400000,11639280.0,DDBI,0,0
,1906,WisdomTree Dynamic Currency Hedged Europe Equity Fund,0,0,0,29.75,550000,16362500.0,DDEZ,0,0
Financial Services,1907,Delaware Investments Dividend & Income Fund Inc.,0,0,0,12.04,7688159,92565434.36,DDF,0,0
,1908,ProShares Short Oil & Gas,0,0,0,21.4527,75000,1608952.5,DDG,0,0
,1910,WisdomTree Dynamic Currency Hedged Japan Equity Fund,0,0,0,28.06,100000,2806000.0,DDJP,0,0
,1911,WisdomTree Dynamic Currency Hedged International SmallCap Equity Fund,0,0,0,31.57,650000,20520500.0,DDLS,0,0
,1912,ProShares Ultra Dow30,0,0,0,48.41,8850000,428428499.99999994,DDM,0,0
,1913,DB Commodity Short ETN due April 1 2038,0,0,0,45.03,9400,423282.0,DDP,0,0
Real Estate,1915,DDR Corp. Depositary Shares each representing a 1/20th interest in a share of 6.375% Class A Cumulative Redeemable Preferred Shares,-274534000.0,871564000.0,-0.0,25.076,0,0.0,DDR-A,0,0.0
Real Estate,1916,DDR Corporation Dep Shs Repstg 1/20th Pfd Cl J,-274534000.0,871564000.0,-0.0,24.75,0,0.0,DDR-J,0,0.0
Real Estate,1917,DDR Corp. DEPOSITARY SH REPSTG 1/20TH PDF CL K % (United States),-274534000.0,871564000.0,-0.0,24.15,0,0.0,DDR-K,0,0.0
Consumer Cyclical,1919,Dillard's Capital Trust I,0,0,0,27.4,0,0.0,DDT,0,0
,1920,WisdomTree Dynamic Currency Hedged International Equity Fund,0,0,0,29.23,8300000,242609000.0,DDWM,0,0
,1924,Xtrackers FTSE Developed ex US Comprehensive Factor,0,0,0,28.67,2050001,58773528.67,DEEF,0,0
,1925,Invesco Defensive Equity,0,0,0,50.08,3850000,192808000.0,DEF,0,0
,1926,iShares Adaptive Currency Hedged MSCI EAFE,0,0,0,28.18,100000,2818000.0,DEFA,0,0
Basic Materials,1928,Delta Technology Holdings Limited,0,0,0,0.89,12810314,11401179.46,DELT,0,0
,1929,WisdomTree Emerging Markets High Dividend Fund,0,0,0,42.97,44500000,1912165000.0,DEM,0,0
,1930,Xtrackers FTSE Emerging Comprehensive Factor,0,0,0,24.88,250001,6220024.88,DEMG,0,0
Consumer Defensive,1932,Diageo plc,0,0,0,139.15,613915150,85426293122.5,DEO,0,0
,1934,WisdomTree U.S. SmallCap Dividend Fund,0,0,0,30.19,74050000,2235569500.0,DES,0,0
,1935,Xtrackers Russell 2000 Comprehensive Factor,0,0,0,37.59,300001,11277037.590000002,DESC,0,0
,1938,ETNs linked to the VelocityShares Daily 4X Long USD vs. EUR Index,0,0,0,26.35,160000,4216000.0,DEUR,0,0
,1939,Xtrackers Russell 1000 Comprehensive Factor,0,0,0,33.984,5050001,171619233.984,DEUS,0,0
,1940,WisdomTree Global High Dividend Fund,0,0,0,47.03,2200000,103466000.0,DEW,0,0
,1941,iShares Adaptive Currency Hedged MSCI Japan,0,0,0,29.04,150000,4356000.0,DEWJ,0,0
Financial Services,1942,Delaware Enhanced Global Dividend of Beneficial Interest,0,0,0,11.08,15829048,175385851.84,DEX,0,0
,1943,iShares Adaptive Currency Hedged MSCI Eurozone,0,0,0,27.34,100000,2734000.0,DEZU,0,0
Industrials,1946,DFB Healthcare Acquisitions Corp.,910163.0,0,78.17461998565093,9.73,7312605,71151646.65,DFBH,0.12446494785374022,0
Industrials,1947,DFB Healthcare Acquisitions Corp. Unit,910163.0,0,0.0,10.1,0,0.0,DFBHU,0,0
,1948,DFB Healthcare Acquisitions Corp. Warrant,0,0,0,1.45,0,0.0,DFBHW,0,0
,1949,WisdomTree Europe SmallCap Dividend Fund,0,0,0,65.12,14950000,973544000.0000001,DFE,0,0
,1950,Direxion Daily Aerospace & Defense Bull 3X Shares,0,0,0,60.887,1250001,76108810.887,DFEN,0,0
Healthcare,1951,Diffusion Pharmaceuticals Inc.,807377.0,0,28.813206791870467,0.46,50572001,23263120.46,DFFN,0.015964901210849855,0
,1953,WisdomTree Japan SmallCap Fund,0,0,0,74.883,14350000,1074571050.0,DFJ,0,0
,1954,Realty Shares DIVCON Dividend Defender,0,0,0,28.54,225000,6421500.0,DFND,0,0
,1955,Davis Select Financial ETF,0,0,0,24.87,6150000,152950500.0,DFNL,0,0
Financial Services,1956,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,0,0,0,24.23,19161549,464284332.27,DFP,0,0
,1959,iPath US Treasury 5 Year Bull ETN,0,0,0,62.64,71200,4459968.0,DFVL,0,0
,1960,iPath US Treasury 5-year Bear ETN,0,0,0,37.1605,123100,4574457.55,DFVS,0,0
,1962,VelocityShares 3X Inverse Natural Gas ETN linked to the S&P GSCI Natural Gas INdex Excess Return,0,0,0,24.22,11640000,281920800.0,DGAZ,0,0
,1963,ETNs linked to the VelocityShares Daily 4X Long USD vs. GBP Index,0,0,0,27.02,160000,4323200.0,DGBP,0,0
,1967,Invesco DB Gold Fund,0,0,0,37.81,3400040,128555512.4,DGL,0,0
,1968,VelocityShares 3x Inverse Gold ETN,0,0,0,56.34,354010,19944923.400000002,DGLD,0,0
,1970,DB Gold Double Long ETN due February 15 2038,0,0,0,20.69,3715000,76863350.0,DGP,0,0
,1971,WisdomTree Emerging Markets Quality Dividend Growth Fund,0,0,0,23.7,3300000,78210000.0,DGRE,0,0
,1972,iShares Core Dividend Growth,0,0,0,37.375,115400000,4313075000.0,DGRO,0,0
,1973,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,0,0,0,38.15,3100000,118265000.0,DGRS,0,0
,1974,WisdomTree U.S. Dividend Growth Fund,0,0,0,44.31,53900000,2388309000.0,DGRW,0,0
,1975,WisdomTree Emerging Market SmallCap Fund,0,0,0,45.58,31000000,1412980000.0,DGS,0,0
,1977,SPDR Global Dow ETF (based on The Global Dow),0,0,0,85.57,1100464,94166704.47999999,DGT,0,0
,1979,DB Gold Short ETN due February 15 2038,0,0,0,15.01,880100,13210301.0,DGZ,0,0
,1981,Ditech Holding Corporation Series A Warrants,0,0,0,0.1979,0,0.0,DHCP+A,0,0
,1982,Ditech Holding Corporation Series B Warrants,0,0,0,0.09,0,0.0,DHCP+B,0,0
,1983,WisdomTree Dynamic Currency Hedged International Quality Dividend Growth Fund,0,0,0,24.656,900000,22190400.0,DHDG,0,0
Financial Services,1984,Dreyfus High Yield Strategies Fund,0,0,0,3.18,72707688,231210447.84,DHF,0,0
,1988,WisdomTree U.S. High Dividend Fund,0,0,0,72.948,13350000,973855799.9999999,DHS,0,0
,1990,Diamond Hill Valuation-Weighted 500,0,0,0,34.36,650000,22334000.0,DHVW,0,0
Financial Services,1993,Credit Suisse High Yield Bond Fund,0,0,0,2.625,103463106,271590653.25,DHY,0,0
,1994,SPDR Dow Jones Industrial Average,0,0,0,261.68,84392867,22083925436.56,DIA,0,0
,1995,Columbia Diversified Fixed Income Allocation,0,0,0,19.1336,0,0.0,DIAL,0,0
Financial Services,1996,Nuveen Dow 30SM Dynamic Overwrite Fund of Beneficial Interest,0,0,0,19.25,36095242,694833408.5,DIAX,0,0
,1997,ProShares Ultra Oil & Gas,0,0,0,41.45,2625000,108806250.00000001,DIG,0,0
,1998,WisdomTree International MidCap Dividend Fund,0,0,0,65.419,4400000,287843600.0,DIM,0,0
,2000,Davis Select International ETF,0,0,0,17.88,3000000,53640000.0,DINT,0,0
,2008,Global X Super Dividend,0,0,0,25.42,11150000,283433000.0,DIV,0,0
,2009,AGFiQ Hedged Dividend Income Fund,0,0,0,24.34,100000,2434000.0,DIVA,0,0
,2010,iShares U.S. Dividend and Buyback,0,0,0,27.62,300000,8286000.0,DIVB,0,0
,2011,Citigroup Inc. C-Tracks ETN Miller/Howard Strategic Dividend Reinvestors Due 9/16/2014,0,0,0,36.39,4000000,145560000.0,DIVC,0,0
,2012,Amplify YieldShares CWP Dividend & Option Income,0,0,0,29.67,550000,16318500.000000002,DIVO,0,0
,2013,Realty Shares DIVS,0,0,0,27.072,1304348,35311309.056,DIVY,0,0
,2014,E-TRACS Linked to the Bloomberg Commodity Index Total Return due October 31 2039,0,0,0,15.16,4048680,61377988.8,DJCI,0,0
,2016,Invesco Dow Jones Industrial Average Dividend,0,0,0,36.055,400000,14422000.0,DJD,0,0
,2017,iPath Bloomberg Commodity Index Total Return ETN,0,0,0,22.84,38467118,878588975.12,DJP,0,0
,2018,ETNs linked to the VelocityShares Daily 4X Long USD vs. JPY Index,0,0,0,24.35,160000,3896000.0,DJPY,0,0
Financial Services,2022,Deutsch Bk Contingent Cap Tr V Tr Pfd Secs,0,0,0,26,0,0.0,DKT,0,0
,2026,iPath US Treasury Long Bond Bull ETN,0,0,0,75.08,57887,4346155.96,DLBL,0,0
,2027,Citigroup Global Markets Holdings Inc VelocityShares Short LIBOR ETN,0,0,0,17.22,150000,2583000.0,DLBR,0,0
,2028,iPath US Treasury Long Bond Bear ETN,0,0,0,21.155,924142,19550224.01,DLBS,0,0
,2030,WisdomTree U.S. LargeCap Dividend Fund,0,0,0,95.759,21250000,2034878750.0,DLN,0,0
,2035,Dolphin Entertainment Inc. Warrant,0,0,0,0.3285,0,0.0,DLPNW,0,0
Real Estate,2037,Digital Realty Trust Inc. 6.625% Series C Cumulative Redeemable Perpetual Preferred Stock,278160000.0,2840657000.0,0.0,26.33,0,0.0,DLR-C,0,0.0
Real Estate,2038,Digital Realty Trust Inc. Preferred Series G,278160000.0,2840657000.0,0.0,25.05,0,0.0,DLR-G,0,0.0
Real Estate,2039,Digital Realty Trust Inc. Redeemable Preferred Stock Series H,278160000.0,2840657000.0,0.0,25.59,0,0.0,DLR-H,0,0.0
Real Estate,2040,Digital Realty Trust Inc. 6.350% Series I Cumulative Redeemable Preferred Stock par value $0.01 per share,278160000.0,2840657000.0,0.0,25.693,0,0.0,DLR-I,0,0.0
Real Estate,2041,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock,278160000.0,2840657000.0,0.0,24.562,0,0.0,DLR-J,0,0.0
,2042,WisdomTree International SmallCap Fund,0,0,0,71.346,25950000,1851428700.0,DLS,0,0
Financial Services,2047,Dreyfus Municipal Bond Infrastructure Fund Inc.,0,0,0,12.29,18381981,225914546.48999998,DMB,0,0
Financial Services,2048,Dreyfus Municipal Income Inc.,0,0,0,7.94,20746281,164725471.14000002,DMF,0,0
Financial Services,2050,Western Asset Mortgage Defined Opportunity Fund Inc,0,0,0,22.95,10449983,239827109.85,DMO,0,0
Healthcare,2051,DelMar Pharmaceuticals Inc.,-5038857.0,0,-3.1898772791924834,0.7302,22012237,16073335.4574,DMPI,-0.2289116276551084,0
,2053,DeltaShares S&P International Managed Risk,0,0,0,50.748,4600000,233440800.0,DMRI,0,0
,2054,DeltaShares S&P 500 Managed Risk,0,0,0,57.772,7800000,450621600.0,DMRL,0,0
,2055,DeltaShares S&P 400 Managed Risk,0,0,0,56.705,2450000,138927250.0,DMRM,0,0
,2056,DeltaShares S&P 600 Managed Risk,0,0,0,60.35,750000,45262500.0,DMRS,0,0
Financial Services,2059,Dividend and Income Fund,0,0,0,12.048,12334946,148611429.408,DNI,0,0
Financial Services,2060,Golden Bull Limited,0,0,0,7.63,14782500,112790475.0,DNJR,0,0
,2062,WisdomTree Global ex-US Quality Dividend Growth Fund,0,0,0,57.354,1300000,74560200.0,DNL,0,0
Financial Services,2066,DNP Select Income Fund Inc.,0,0,0,11.13,290155807,3229434131.9100003,DNP,0,0
,2071,Deutsche Bank AG ELEMENTS Dogs of the Dow Total Return Index Note ELEMENTS Dogs of the Dow Linked to the Dow Jones High Yield Select 10 Total Return Index due N,0,0,0,23.895,1990000,47551050.0,DOD,0,0
,2072,ProShares Short Dow30,0,0,0,55.61,4023755,223761015.55,DOG,0,0
,2073,Arrow Dogs of the World,0,0,0,50.74,100000,5074000.0,DOGS,0,0
Consumer Defensive,2074,Dogness (International) Corporation,0,0,0,2.9777,25913631,77163019.0287,DOGZ,0,0
,2075,WisdomTree International LargeCap Dividend Fund,0,0,0,47.89,8500000,407065000.0,DOL,0,0
,2077,WisdomTree U.S. MidCap Dividend Fund,0,0,0,37.43,93750000,3509062500.0,DON,0,0
,2078,WisdomTree International Dividend Top 100 Fund,0,0,0,42.03,4450000,187033500.0,DOO,0,0
Industrials,2082,Draper Oakwood Technology Acquisition Inc.,23064.0,0,1020.9418782518209,10.12,2326779,23547003.479999997,DOTA,0.00991241540343969,0
,2083,Draper Oakwood Technology Acquisition Inc. Right,0,0,0,0.5,0,0.0,DOTAR,0,0
Industrials,2084,Draper Oakwood Technology Acquisition Inc. Unit,23064.0,0,0.0,11.1,0,0.0,DOTAU,0,0
,2085,Draper Oakwood Technology Acquisition Inc. Warrant,0,0,0,0.53,0,0.0,DOTAW,0,0
Financial Services,2089,Duff & Phelps Global Utility Income Fund Inc.,0,0,0,14.612,37929806,554230325.272,DPG,0,0
,2090,Direxion Developed Markets Bear 3x Shares,0,0,0,13,284916,3703908.0,DPK,0,0
,2092,Direxion Daily Regional Banks Bull 3X Shares,0,0,0,75.85,450000,34132500.0,DPST,0,0
,2102,,0,0,0,0.2592,0,0.0,DRIOW,0,0
,2103,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 3X Shares,0,0,0,6.295,8829803,55583609.885,DRIP,0,0
,2104,Global X Autonomous & Electric Vehicles ETF,0,0,0,14.653,0,0.0,DRIV,0,0
,2105,Direxion Daily Real Estate Bull 3x Shares,0,0,0,23.19,2150000,49858500.0,DRN,0,0
,2108,Market Vectors Double Short Euro ETN,0,0,0,54.15,219144,11866647.6,DRR,0,0
,2110,Aptus Defined Risk,0,0,0,25.21,0,0.0,DRSK,0,0
,2111,Dominion Energy Inc. 2016 Series A 5.25% Enhanced Junior Subordinated Notes due 2076,0,0,0,24.19,0,0.0,DRUA,0,0
,2112,Drexion Daily Real Estate Bear 3x Shares,0,0,0,8.832,1808309,15970985.088000001,DRV,0,0
,2113,WisdomTree Global ex-US Real Estate Index,0,0,0,29.831,3450000,102916950.0,DRW,0,0
Consumer Cyclical,2116,Drive Shack Inc. Preferred Series B,-45639000.0,304866000.0,-0.0,25.94,0,0.0,DS-B,0,0.0
Consumer Cyclical,2117,Drive Shack Inc. Preferred Series C,-45639000.0,304866000.0,-0.0,25.4,0,0.0,DS-C,0,0.0
Consumer Cyclical,2118,Drive Shack Inc. Pfd Ser D,-45639000.0,304866000.0,-0.0,25.4,0,0.0,DS-D,0,0.0
Financial Services,2119,Duff & Phelps Select Energy MLP Fund Inc.,0,0,0,5.95,26208607,155941211.65,DSE,0,0
,2121,iShares MSCI KLD 400 Social,0,0,0,106.27,11600000,1232732000.0,DSI,0,0
,2123,,0,0,0,0.95,0,0.0,DSKEW,0,0
Financial Services,2124,DoubleLine Income Solutions Fund of Beneficial Interests,0,0,0,20.335,101349841,2060949016.7350001,DSL,0,0
,2125,VelocityShares 3x Inverse Silver ETN,0,0,0,37.267,463936,17289502.912,DSLV,0,0
Financial Services,2126,Dreyfus Strategic Municipal Bond Fund Inc.,0,0,0,7.37,49369459,363852912.83,DSM,0,0
Financial Services,2129,Blackrock Debt Strategies Fund Inc.,0,0,0,11.23,52912736,594210025.28,DSU,0,0
,2130,Invesco Chinese Yuan Dim Sum Bond,0,0,0,21.66,3500000,75810000.0,DSUM,0,0
Industrials,2132,Deswell Industries Inc.,0,0,0,3.4,15885239,54009812.6,DSWL,0,0
Industrials,2134,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),-462521000.0,194667000.0,-0.0,24.5,0,0.0,DSX-B,0,0.0
,2135,,0,0,0,25.5,0,0.0,DSXN,0,0
,2136,WisdomTree U.S. Total Dividend Fund,0,0,0,96.584,6500000,627796000.0,DTD,0,0
,2139,ALPS ETF Trust Disruptive Technologies,0,0,0,29.72,1650002,49038059.44,DTEC,0,0
Financial Services,2140,DTF Tax-Free Income Inc.,0,0,0,12.78,8520685,108894354.3,DTF,0,0
,2141,WisdomTree International High Dividend Fund,0,0,0,41.666,7450000,310411700.0,DTH,0,0
,2142,DTE Energy Company 2016 Series B 5.375% Junior Subordinated Debentures due 2076,0,0,0,24.281,0,0.0,DTJ,0,0
,2143,,0,0,0,22.855,0,0.0,DTLA-,0,0
,2144,WisdomTree U.S. Dividend ex-Financials Fund,0,0,0,91.849,9200000,845010800.0,DTN,0,0
,2145,DB Crude Oil Double Short ETN due June 1 2038,0,0,0,55.56,336100,18673716.0,DTO,0,0
Utilities,2146,DTE Energy Company 2012 Series C 5.25% Junior Subordinate Debentures due December 1 2062,1152000000.0,13428000000.0,0.0,24.6,0,0.0,DTQ,0,0.0
,2148,iPath US Treasury 2 Yr Bull ETN,0,0,0,56.75,70033,3974372.75,DTUL,0,0
,2149,iPath US Treasury 2-year Bear ETN,0,0,0,40.23,156200,6283925.999999999,DTUS,0,0
Utilities,2150,DTE Energy Company 2016 Corporate Units,1152000000.0,13428000000.0,0.0,52.96,0,0.0,DTV,0,0.0
,2151,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,0,0,0,24.455,0,0.0,DTW,0,0
,2152,DTE Energy Company 2016 Series F 6.00% Junior Subordinated Debentures due 2076,0,0,0,25.863,0,0.0,DTY,0,0
,2153,iPath US Treasury 10 Year Bull ETN,0,0,0,72.62,63893,4639909.66,DTYL,0,0
,2154,iPath US Treasury 10-year Bear ETN,0,0,0,23.39,3005519,70299089.41,DTYS,0,0
Financial Services,2155,Duff & Phelps Utility & Corporate Bond Trust Inc.,0,0,0,8.474,27494683,232989943.742,DUC,0,0
,2156,ProShares UltraShort Oil & Gas,0,0,0,31.39,667108,20940520.12,DUG,0,0
Utilities,2158,Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073,2777000000.0,24059000000.0,0.0,24.73,0,0.0,DUKH,0,0.0
,2159,Davis Select U.S. Equity ETF,0,0,0,25.295,5450000,137857750.0,DUSA,0,0
,2160,Direxion Daily Industrials Bull 3X Shares,0,0,0,38.969,200001,7793838.9690000005,DUSL,0,0
,2161,Direxion Daily Gold Miners Index Bear 3X Shares,0,0,0,40.25,116000,4669000.0,DUST,0,0
,2166,WisdomTree Emerging Markets Dividend Fund,0,0,0,30.8,1100000,33880000.0,DVEM,0,0
,2167,ETRACS 2xLeveraged Diversified High Income ETN,0,0,0,19.9,1135000,22586500.0,DVHL,0,0
,2172,Deep Value,0,0,0,35.36,4450000,157352000.0,DVP,0,0
,2173,iShares Select Dividend ETF,0,0,0,102.24,172050000,17590392000.0,DVY,0,0
,2174,iShares Asia / Pacific Dividend 30 Index Fund Exchange Traded Fund,0,0,0,43.53,750000,32647500.0,DVYA,0,0
,2175,iShares Emerging Markets Dividend Index Fund Exchange Traded Fund,0,0,0,39.238,10100000,396303800.0,DVYE,0,0
,2176,ETRACS Monthly Pay 2x Leveraged Dow Jones Select Dividend Index ETN,0,0,0,75.42,575000,43366500.0,DVYL,0,0
,2177,Invesco DWA NASDAQ Momentum ETF,0,0,0,115.83,500000,57915000.0,DWAQ,0,0
,2178,Invesco DWA SmallCap Momentum ETF,0,0,0,58.17,7650000,445000500.0,DWAS,0,0
,2179,Arrow DWA Tactical ETF,0,0,0,12.462,500000,6231000.0,DWAT,0,0
,2181,Arrow DWA Country Rotation ETF,0,0,0,28.335,700000,19834500.0,DWCR,0,0
